sequence,id,status,latencyMs,outputTokens,candidate,rssBytes,systemUsedPercent,mpsDriverAllocatedBytes
214,meeting-03,ok,1842.721,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,222691328,70.7,4356980736
215,meeting-04,ok,1092.729,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",224264192,71.1,4356980736
216,greeting-01,ok,375.844,7,Chào buổi sáng.,225083392,72.5,4356980736
217,greeting-02,ok,922.088,15,Xin chúc mọi người có một ngày tốt lành.,222543872,81.5,4356980736
218,meeting-01,ok,1406.067,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",223985664,82.3,4356980736
219,meeting-02,ok,1472.323,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,211075072,83.6,4356980736
220,meeting-03,ok,2097.074,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,196116480,85.3,4356980736
221,meeting-04,ok,1311.143,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",186155008,87.7,4356980736
222,greeting-01,ok,935.028,7,Chào buổi sáng.,144277504,87.4,4356980736
223,greeting-02,ok,1206.665,15,Xin chúc mọi người có một ngày tốt lành.,151584768,88.3,4356980736
224,meeting-01,ok,1615.694,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",165838848,86.5,4356980736
225,meeting-02,ok,1230.609,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,159825920,84.6,4356980736
226,meeting-03,ok,2382.205,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,169066496,84.2,4356980736
227,meeting-04,ok,1179.978,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",174243840,83.7,4356980736
228,greeting-01,ok,1086.929,7,Chào buổi sáng.,165117952,83.5,4356980736
229,greeting-02,ok,866.751,15,Xin chúc mọi người có một ngày tốt lành.,159629312,62.8,4356980736
230,meeting-01,ok,1236.618,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",168558592,63.4,4356980736
231,meeting-02,ok,1115.581,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,170672128,63.6,4356980736
232,meeting-03,ok,1954.079,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,196509696,63.7,4356980736
233,meeting-04,ok,1101.434,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",202178560,63.8,4356980736
234,greeting-01,ok,427.917,7,Chào buổi sáng.,202702848,63.9,4356980736
235,greeting-02,ok,770.408,15,Xin chúc mọi người có một ngày tốt lành.,203882496,64.1,4356980736
236,meeting-01,ok,1210.891,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",205570048,64.0,4356980736
237,meeting-02,ok,1021.242,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,207110144,64.0,4356980736
238,meeting-03,ok,1942.118,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,209944576,64.1,4356980736
239,meeting-04,ok,1087.018,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",211517440,64.1,4356980736
240,greeting-01,ok,410.703,7,Chào buổi sáng.,212189184,64.0,4356980736
241,greeting-02,ok,860.001,15,Xin chúc mọi người có một ngày tốt lành.,213401600,64.5,4356980736
242,meeting-01,ok,1146.174,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",215121920,64.4,4356980736
243,meeting-02,ok,984.14,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,216694784,64.3,4356980736
244,meeting-03,ok,1859.453,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,219381760,64.2,4356980736
245,meeting-04,ok,1124.323,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",220987392,64.3,4356980736
246,greeting-01,ok,416.485,7,Chào buổi sáng.,221528064,64.3,4356980736
247,greeting-02,ok,748.218,15,Xin chúc mọi người có một ngày tốt lành.,222674944,64.3,4356980736
248,meeting-01,ok,1228.283,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",224378880,64.6,4356980736
249,meeting-02,ok,994.176,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,225886208,64.4,4356980736
250,meeting-03,ok,1910.217,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,228704256,64.4,4356980736
251,meeting-04,ok,1020.992,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",230244352,64.7,4356980736
252,greeting-01,ok,421.252,7,Chào buổi sáng.,230801408,64.6,4356980736
253,greeting-02,ok,853.121,15,Xin chúc mọi người có một ngày tốt lành.,231931904,64.5,4356980736
254,meeting-01,ok,1083.519,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",233619456,64.7,4356980736
255,meeting-02,ok,1034.289,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,235208704,64.6,4356980736
256,meeting-03,ok,1946.243,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,238239744,64.7,4356980736
257,meeting-04,ok,1008.337,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",239779840,64.6,4356980736
258,greeting-01,ok,339.398,7,Chào buổi sáng.,240320512,64.5,4356980736
259,greeting-02,ok,767.569,15,Xin chúc mọi người có một ngày tốt lành.,241516544,64.6,4356980736
260,meeting-01,ok,1131.094,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",243204096,64.6,4356980736
261,meeting-02,ok,1035.336,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,244711424,64.7,4356980736
262,meeting-03,ok,1757.801,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,247480320,65.0,4356980736
263,meeting-04,ok,1118.815,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",249004032,64.7,4356980736
264,greeting-01,ok,407.338,7,Chào buổi sáng.,249528320,64.6,4356980736
265,greeting-02,ok,841.141,15,Xin chúc mọi người có một ngày tốt lành.,250691584,64.8,4356980736
266,meeting-01,ok,1146.936,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",252395520,64.8,4356980736
267,meeting-02,ok,992.271,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,253919232,65.2,4356980736
268,meeting-03,ok,1905.877,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,256704512,65.3,4356980736
269,meeting-04,ok,1099.396,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",258228224,65.6,4356980736
270,greeting-01,ok,433.183,7,Chào buổi sáng.,258752512,65.6,4356980736
271,greeting-02,ok,772.443,15,Xin chúc mọi người có một ngày tốt lành.,259932160,65.8,4356980736
272,meeting-01,ok,1107.135,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",261718016,65.7,4356980736
273,meeting-02,ok,1004.209,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,263667712,65.7,4356980736
274,meeting-03,ok,1754.518,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,266387456,66.0,4356980736
275,meeting-04,ok,1098.945,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",267960320,66.0,4356980736
276,greeting-01,ok,345.457,7,Chào buổi sáng.,268517376,65.8,4356980736
277,greeting-02,ok,759.623,15,Xin chúc mọi người có một ngày tốt lành.,269631488,65.9,4356980736
278,meeting-01,ok,1248.945,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",271368192,65.8,4356980736
279,meeting-02,ok,1112.493,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,272891904,66.1,4356980736
280,meeting-03,ok,1953.813,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,275611648,66.2,4356980736
281,meeting-04,ok,1014.906,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",277184512,66.1,4356980736
282,greeting-01,ok,376.947,7,Chào buổi sáng.,277725184,65.9,4356980736
283,greeting-02,ok,755.986,15,Xin chúc mọi người có một ngày tốt lành.,278872064,65.9,4356980736
284,meeting-01,ok,1147.183,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",280576000,65.8,4356980736
285,meeting-02,ok,1102.279,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,282148864,65.8,4356980736
286,meeting-03,ok,1926.609,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,284852224,65.9,4356980736
287,meeting-04,ok,1109.238,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",286408704,65.9,4356980736
288,greeting-01,ok,414.656,7,Chào buổi sáng.,286932992,65.9,4356980736
289,greeting-02,ok,826.032,15,Xin chúc mọi người có một ngày tốt lành.,288112640,65.9,4356980736
290,meeting-01,ok,1205.512,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",289783808,66.2,4356980736
291,meeting-02,ok,1082.536,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,291536896,66.8,4356980736
292,meeting-03,ok,1785.78,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,294289408,67.0,4356980736
293,meeting-04,ok,1691.052,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",295796736,67.2,4356980736
294,greeting-01,ok,741.455,7,Chào buổi sáng.,296435712,67.6,4356980736
295,greeting-02,ok,838.962,15,Xin chúc mọi người có một ngày tốt lành.,297500672,68.4,4356980736
296,meeting-01,ok,1143.202,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",299253760,68.3,4356980736
297,meeting-02,ok,1026.3,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,300810240,68.3,4356980736
298,meeting-03,ok,1882.866,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,303513600,68.2,4356980736
299,meeting-04,ok,1046.574,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",305053696,68.2,4356980736
300,greeting-01,ok,370.82,7,Chào buổi sáng.,305594368,68.4,4356980736
301,greeting-02,ok,795.866,15,Xin chúc mọi người có một ngày tốt lành.,306724864,68.3,4356980736
302,meeting-01,ok,1167.798,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",308461568,68.3,4356980736
303,meeting-02,ok,1100.629,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,310018048,68.3,4356980736
304,meeting-03,ok,1671.509,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,312754176,68.3,4356980736
305,meeting-04,ok,946.006,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",314294272,68.3,4356980736
306,greeting-01,ok,402.799,7,Chào buổi sáng.,314834944,68.3,4356980736
307,greeting-02,ok,740.76,15,Xin chúc mọi người có một ngày tốt lành.,315949056,68.2,4356980736
308,meeting-01,ok,1231.794,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",317669376,68.3,4356980736
309,meeting-02,ok,1049.832,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,319275008,68.2,4356980736
310,meeting-03,ok,1946.32,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,322011136,68.4,4356980736
311,meeting-04,ok,1146.511,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",323551232,68.6,4356980736
312,greeting-01,ok,1016.891,7,Chào buổi sáng.,324059136,68.5,4356980736
313,greeting-02,ok,2562.155,15,Xin chúc mọi người có một ngày tốt lành.,325206016,68.3,4356980736
314,meeting-01,ok,3370.66,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",327024640,68.3,4356980736
315,meeting-02,ok,2349.892,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,328613888,68.5,4356980736
316,meeting-03,ok,5939.587,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,331759616,68.5,4356980736
317,meeting-04,ok,3272.709,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",333316096,68.5,4356980736
318,greeting-01,ok,1348.271,7,Chào buổi sáng.,333889536,68.5,4356980736
319,greeting-02,ok,1908.775,15,Xin chúc mọi người có một ngày tốt lành.,334987264,68.5,4356980736
320,meeting-01,ok,3502.518,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",336707584,68.5,4356980736
321,meeting-02,ok,2933.497,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,338247680,68.6,4356980736
322,meeting-03,ok,5774.179,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,341000192,68.8,4356980736
323,meeting-04,ok,2697.423,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",342573056,68.7,4356980736
324,greeting-01,ok,1310.421,7,Chào buổi sáng.,343113728,68.6,4356980736
325,greeting-02,ok,2616.195,15,Xin chúc mọi người có một ngày tốt lành.,344260608,68.5,4356980736
326,meeting-01,ok,2563.786,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",345931776,68.5,4356980736
327,meeting-02,ok,3355.791,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,347521024,68.6,4356980736
328,meeting-03,ok,2504.411,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,350404608,68.6,4356980736
329,meeting-04,ok,1214.421,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",351928320,68.6,4356980736
330,greeting-01,ok,467.503,7,Chào buổi sáng.,352485376,68.6,4356980736
331,greeting-02,ok,913.53,15,Xin chúc mọi người có một ngày tốt lành.,353632256,68.5,4356980736
332,meeting-01,ok,1279.64,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",355368960,68.5,4356980736
333,meeting-02,ok,1027.508,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,356892672,68.6,4356980736
334,meeting-03,ok,2138.338,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,359612416,68.6,4356980736
335,meeting-04,ok,1315.195,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",361168896,69.0,4356980736
336,greeting-01,ok,1202.798,7,Chào buổi sáng.,361676800,68.8,4356980736
337,greeting-02,ok,2108.296,15,Xin chúc mọi người có một ngày tốt lành.,362856448,68.8,4356980736
338,meeting-01,ok,2666.471,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",364576768,68.7,4356980736
339,meeting-02,ok,2617.195,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,366100480,68.8,4356980736
340,meeting-03,ok,5929.101,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,368852992,68.9,4356980736
341,meeting-04,ok,2640.861,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",370376704,68.8,4356980736
342,greeting-01,ok,1170.604,7,Chào buổi sáng.,370900992,68.8,4356980736
343,greeting-02,ok,1507.764,15,Xin chúc mọi người có một ngày tốt lành.,372064256,68.8,4356980736
344,meeting-01,ok,3547.612,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",373784576,68.8,4356980736
345,meeting-02,ok,1967.973,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,375390208,68.8,4356980736
346,meeting-03,ok,2948.713,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,378257408,69.9,4356980736
347,meeting-04,ok,1045.077,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",379830272,69.8,4356980736
348,greeting-01,ok,348.125,7,Chào buổi sáng.,380370944,69.6,4356980736
349,greeting-02,ok,753.479,15,Xin chúc mọi người có một ngày tốt lành.,381501440,69.5,4356980736
350,meeting-01,ok,1198.15,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",383205376,69.6,4356980736
351,meeting-02,ok,1056.503,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,384761856,69.8,4356980736
352,meeting-03,ok,1809.116,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,387514368,70.1,4356980736
353,meeting-04,ok,1087.72,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",389038080,70.3,4356980736
354,greeting-01,ok,416.029,7,Chào buổi sáng.,389578752,70.2,4356980736
355,greeting-02,ok,781.694,15,Xin chúc mọi người có một ngày tốt lành.,390742016,69.8,4356980736
356,meeting-01,ok,1069.056,22,"Vậy thì, chúng ta hãy bắt đầu cuộc họp định kỳ này thôi.",392445952,70.6,4356980736
357,meeting-02,ok,1065.824,20,Xin vui lòng kiểm tra lại biên bản cuộc họp lần trước.,393986048,70.6,4356980736
358,meeting-03,ok,1774.53,35,Hãy cùng nhau quyết định người chịu trách nhiệm thực hiện nhiệm vụ này và thời hạn hoàn thành nhiệm vụ đó.,396722176,70.4,4356980736
359,meeting-04,ok,958.346,20,"Trong lần tiếp theo, chức năng xác thực sẽ được ưu tiên hàng đầu.",398311424,70.4,4356980736
